"SA_RAW(2026.06.30.~2026.06.30.),1850585"
검색/콘텐츠 매체,일별,PC/모바일 매체,캠페인,광고그룹,키워드,노출수,클릭수,총비용
검색,2026.06.30.,모바일,01_파워링크mo,가정_문영은,문영은,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,2026임용,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,2026임용고시,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,교사임용,9,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,교사임용고시,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,교원,17,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,교원임용,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,교원임용고시과목,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,교원임용시험경쟁률,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,국가임용고시,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,기간제교사,39,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,기간제교사급여,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,기간제교사란,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,기간제교사모임,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,기간제교사월급,11,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,기간제교사자격,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,기간제교사채용,12,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,노량진임용,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,노량진임용고시,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,병설임용고시,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,사립학교임용,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,사범대임용고시,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용,67,1,2600
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용가산점,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용강사,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용강의,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시,159,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시가산점자격증,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시강의,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시경쟁률,10,1,2521
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시과목,5,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시기출,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시나이제한,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시모의고사,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시문제,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시문제집,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시시험과목,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시원서접수,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시인강,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시인원,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시자격조건,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시자격증,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시점수,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시지역가산점,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용고시티오,9,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용기출,8,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용난이도,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용모의고사,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용문제,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용사이트,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용사전예고,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용서점,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용시험,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용인강,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용준비,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용준비기간,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용티오,17,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용학원,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,임용후기,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,공통_일반,초등임용고시가산점,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,교육학,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,교육학강사,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,교육학개론,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,교육학공부,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,교육학모의고사,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,교육학인강,4,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,교육학임용,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,교육행정시험일정,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,교육학_공통,중등임용교육학,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_공통,국어임용,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_공통,국어임용고시경쟁률,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_공통,국어임용고시문제,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_공통,국어임용고시준비기간,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_공통,국어임용고시합격수기,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_공통,국어임용문제집,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_공통,임용국어,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_공통,중등국어기출문제,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_송헌,송헌,6,0,0
검색,2026.06.30.,모바일,01_파워링크mo,국어_송헌,송헌문학,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,미술교사채용,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,미술임용,7,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,미술임용강의,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,미술임용고시,9,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,미술임용고시경쟁률,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,미술임용준비기간,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,미술임용학원,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,미술임용합격수기,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,방문미술교사,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,미술_공통,임용미술,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,2026년도유아임용,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,2026유아임용시험,4,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,공립유치원교사월급,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,공립유치원교사임용,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,공립유치원임용고시,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,병설유치원교사월급,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,병설유치원교사자격,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,병설유치원임용고시,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,사립유치원교사,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,사립유치원교사월급,5,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,사립유치원교사호봉,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,어린이집교사자격증,12,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,윌비스유아임용,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아교육임용고시,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용,27,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용강사추천,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용강의,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용경쟁률,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용고시,19,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용고시날짜,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용고시티오,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용고시후기,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용과목,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용교재,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용기출,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용기출문제,5,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용난이도,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용사전예고,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용시험시간,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용시험일정,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용윌비스,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용카페,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용티오,18,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용한국사,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용합격,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아임용합격수기,6,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아특수임용,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유아특수임용고시,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사,30,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사구직,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사구직사이트,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사급여,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사되려면,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사봉급,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사사이트,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사연봉,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사월급,25,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사임용고시,4,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사임용고시일정,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사채용,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사채용사이트,4,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사초봉,3,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원교사호봉,2,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원의임용고시,24,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원의임용고시카페,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원임용,1,0,0
검색,2026.06.30.,모바일,01_파워링크mo,유아_공통,유치원임용고시,20,0,0
