"유형","캠페인","광고그룹","비즈채널명","키워드","시작일","종료일","노출수","클릭수","클릭률","비용","앱설치(7일)","회원가입(7일)","장바구니 보기(7일)","구매(7일)","구매금액(7일)","잠재고객(7일)","서비스 신청(7일)","앱설치(1일)","회원가입(1일)","장바구니 보기(1일)","구매(1일)","구매금액(1일)","잠재고객(1일)","서비스 신청(1일)"
"프리미엄링크","mo캠페인","중고등교사","MO","고등학교교사연봉","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","중고등교사","MO","고등학교교사월급","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","공통","MO","기간제교사월급","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","특수_박해인","MO","박해인특수교육","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","유아_공통","MO","병설유치원교사월급","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","보건_공통","MO","보건교사임용고시자격","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","유아_공통","MO","유아임용고시카페","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","유아_공통","MO","유치원교사","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","유아_이동건","MO","이동건유아임용","2026-06-30","2026-06-30","4","3","75%","1,530","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","상담_이진영","MO","전문상담교사임용시험대비방","2026-06-30","2026-06-30","2","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","스포츠지도사_공통","MO","전문스포츠지도사","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","지구과학_정재준","MO","정재준","2026-06-30","2026-06-30","2","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","교육학_공통","MO","중등임용교육학","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","mo캠페인","브랜드","MO","희소고시학원쌤플러스","2026-06-30","2026-06-30","2","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
