"유형","캠페인","광고그룹","비즈채널명","키워드","시작일","종료일","노출수","클릭수","클릭률","비용","앱설치(7일)","회원가입(7일)","장바구니 보기(7일)","구매(7일)","구매금액(7일)","잠재고객(7일)","서비스 신청(7일)","앱설치(1일)","회원가입(1일)","장바구니 보기(1일)","구매(1일)","구매금액(1일)","잠재고객(1일)","서비스 신청(1일)"
"프리미엄링크","pc캠페인","정보","PC","고등임용고시일정","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","교사임용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","교원","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","교원임용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","기간제교사","2026-06-30","2026-06-30","2","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","역사_김정현","PC","김정현교수","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","스포츠지도사_공통","PC","노인스포츠지도사","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","특수_박해인","PC","박해인특수교육","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","유아_배지윤","PC","배지윤","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","사립학교임용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","상담_이진영","PC","상담교사임용고시","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","스포츠지도사_공통","PC","생활스포츠지도사2급실기","2026-06-30","2026-06-30","4","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","스포츠지도사_공통","PC","생활체육지도자","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","스포츠지도사_공통","PC","생활체육지도자자격증","2026-06-30","2026-06-30","2","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","스포츠지도사_공통","PC","스포츠지도사","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","브랜드","PC","쌤플러스","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","브랜드","PC","에듀원","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","영양_플러스팀","PC","영양임용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","유아_공통","PC","유치원교사경력증명서","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","유아_공통","PC","유치원교사경력증명서인터넷발급","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","유아_공통","PC","유치원교사채용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","유아_공통","PC","유치원임용고시카페","2026-06-30","2026-06-30","2","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","임용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","정보","PC","임용고시일정","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","임용고시카페","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","상담_이진영","PC","전문상담교사","2026-06-30","2026-06-30","2","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","상담_이진영","PC","전문상담교사임용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","상담_이진영","PC","전문상담교사임용시험대비방","2026-06-30","2026-06-30","3","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","지구과학_정재준","PC","정재준","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","정보","PC","중등교사임용시험일정","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","중등교사자격증","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","공통","PC","중등임용고사","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","정보","PC","중등임용고시경쟁률","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","정보","PC","중등임용고시일정","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","중고등교사","PC","중등임용고시카페","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","정보","PC","중등임용기출문제","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","경쟁사브랜드","PC","지스쿨임용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","체육_공통","PC","체육교사","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","스포츠지도사_공통","PC","체육지도자자격증","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","초등_김희진","PC","초등임용","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","정보","PC","초등임용고시일정","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","중고등교사","PC","초중등교육법","2026-06-30","2026-06-30","7","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","특수_공통","PC","특수교사를꿈꾸며","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","브랜드","PC","희소고시학원","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","브랜드","PC","희소고시학원쌤플러스","2026-06-30","2026-06-30","8","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"프리미엄링크","pc캠페인","브랜드","PC","희소쌤","2026-06-30","2026-06-30","1","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
